scene	code_index	jp_text	en_text	zh_text
SEEN6430	9652	最後はオッサンに$d最後は俺に	Give him the last shot$dI'll take the last shot	给他最后一枪$d最后一枪我再打
SEEN6430	11482	最後は杏に$d最後は俺に	Let Kyou take the last shot$dI'll take the last shot	让杏最后一枪$d最后一枪我再打
SEEN6444	988	訊いてみる$d興味ない	Ask them what's wrong$dI'm not interested	问他们怎么了$d我没兴趣
SEEN6501	2504	プレゼントをする$dデートに誘う$d耳元で愛を囁き続ける	Giving her a present$dInviting her on a date$dWhispering sweet nothings into her ear	送给她礼物$d邀请她约会$d悄悄地把甜美的东西塞进她的耳朵
SEEN6502	2046	好き$d俺には渚がいる	I like her$dI have Nagisa	我喜欢她$d我见过渚
SEEN6510	224	台本を奪う$d唇を奪う$d心を奪う	Steal her script$dSteal a kiss$dSteal her heart	偷她的剧本$d偷一个吻$d偷她的心脏
SEEN6511	318	あんたはいい父親だ$dあんたは父親としては失格だ	You're a good father$dYou're a failure as a father	你是个好父亲$d你是个失败的父亲
SEEN6511	2036	叫ぶ$d黙って見ている	Yell$dWatch silently	喊叫声$d安静的看着
SEEN6727	285	いい$dよくない	It's all right$dIt's not all right	没关系$d有点不对劲
SEEN6728	1224	好きにさせる$dやめさせる	Let her do it$dStop her	让她来吧$d拦住她
SEEN6729	3356	何のつもりなのか訊く$dもう一度頼む	Ask her why she did it$dAsk her to do it again	问她为什么要这么做$d让她再来一次
SEEN6800	8895	自分を落ち着かせる$dばれなければいいと開き直る	Calm down$dDecide that it's fine as long as you're not caught	冷静点$d确定只要你没被抓就没事
SEEN6800_1	1787	いい$dいや、言葉以外で…	Yes$dNo, something other than words	对$d不,除了言语
SEEN6800_1	1990	エッチなこととか…$dいや、言葉でいい	Doing something dirty...$dActually, words are fine	做一些脏事...$d其实,文字是好的
SEEN6800_1	4774	誤解を解く$d好きに思わせておく	Clear up the misunderstanding$dLet them think whatever they want	清除误会$d让他们想什么都行
SEEN6800_1	6073	黙ってじっとしている$d拒否する	Stay silent and don't move$dDeny it	安静,别动$d拒绝
SEEN6800_1	7182	テレビを見る$dタンスを漁る	Watch TV$dHunt through my drawers	观看电视$d打扫我的抽屉
SEEN6800_1	8001	創立者祭$d牛追い祭り$dエプロンだけの日	Founder's Festival$dThe running of the bulls$dApron only day	创始人节$d公牛们的奔跑$d仅仅一天
SEEN6800_1	8016	模試$d牛追い祭り$dエプロンだけの日	Mock exams$dThe running of the bulls$dApron only day	模拟考试$d公牛们的奔跑$d仅仅一天
SEEN6800_1	8207	模試$dだんご追い祭り$dエプロンだけの日	Mock exams$dThe running of the dango$dApron only day	模拟考试$d丹戈的运行$d仅仅一天
SEEN6800_1	10013	別にいいけど$d反対	It's fine with me$dNo way	没关系$d不会吧
SEEN6800_2	4259	ダメじゃなくて無理$d仕方がない…	It's not too much, it's impossible$dOh, fine	不是太多,不可能的$d哦,没事
SEEN6800_2	6022	違う$d………。	No$d......	没有$d. . . . . . . . .
SEEN6800_2	7898	殴りつける$d堪える	Hit something$dHold it in	打东西$d坚持住
SEEN6802_1	1098	見に行く$dここで待つ	Go look$dWait here	去找找看吧 找找看吧 找找看$d在这里等着
SEEN6803	100	呼ぶ$d呼ばない	Call out$dSay nothing	喊出来$d什么都不说
SEEN6810	1425	後ろから抱きつく$d大人しくテレビを見ている	Hug her from behind$dQuietly keep watching TV	从后面抱她$d安静地看电视
SEEN6810	1520	もっと強く抱きしめてみる$d邪魔になるだろうから、このままでいる	Hold her even closer$dIt could distract her; stay like this	抱紧她$d这会分散她的注意力 保持这样
SEEN6810	1603	調べてみる$dさすがにそれは失礼だ	Find out$dNow that would be going too far	找出来$d这样太过分了
SEEN6810	3493	オッサンの秘蔵エロ本$d早苗さんの下着$dいらない	The old man's stash of dirty books$dSanae-san's underwear$dI don't need anything	那个老家伙藏的脏书$d早苗-先生的内衣$d我不需要任何东西
SEEN6810	10497	そろそろ止める$dさらに傍観	She's had enough$dKeep watching	她受够了$d继续看
SEEN6810	11458	気にしてる$d気にしていない	I do care$dI don't care	我关心$d我无所谓
SEEN6811	6554	協力する$d逃げ出す	Help him$dRun away	帮帮他$d走开
SEEN7000	2629	好き$dそういうのではなくて…	I do$dNo, it's not like that...	我当然想$d不 不是那样的...
SEEN7100	78	立ち去る$dもう少し様子を見ている	Leave.$dSee what happens for a bit longer.	离开$d看看会发生什么 一段时间。
SEEN7100	565	手伝う$d断る	Help$dRefuse	帮助$d拒绝
SEEN7102	75	正直に答える$d適当にごまかす	Answer honestly$dTry and deceive him somehow	老实回答$d试着欺骗他
SEEN7102	135	チャンネルを替える$d歌う	Change the channel$dSing	更改频道$d歌声
SEEN7102	960	同意する$dさらに続きを訊く	Agree$dAsk if there's more	商定$d问还有没有
SEEN7102	1662	明後日まで待って、一緒に行く$d渚ひとりに行かせる	Wait until the day after tomorrow and go together.$dLet Nagisa go alone.	等到后天再一起去$d让渚一个人去。
SEEN7200	2121	オッサンのこと$dエッチなこと	The old man$dSomething dirty	那个老头$d脏东西
SEEN7200	2630	抱きしめる$dおはよう、と返す	Embrace her$dSay good morning back to her	拥抱她$d跟她说早安
SEEN7400	446	藤林姉妹$dそれ以外	Fujibayashi Sisters$dGo with someone else	藤林修女会$d跟别人去
SEEN7400	457	姉$d妹	The older sister$dThe younger sister	那个姐姐$d那个妹妹
SEEN7400	1749	古河にする$dそれ以外	Let's go with Furukawa$dGo with someone else	让我们去古河$d跟别人去
SEEN7400	2715	智代にする$dそれ以外	Let's go with Tomoyo$dGo with someone else	让我们去智代$d跟别人去
SEEN7400	3748	風子にする$dそれ以外	Let's go with Fuko$dGo with someone else	让我们去风子$d跟别人去
SEEN7400	4543	俺にする$dそれ以外	Let's go with me$dGo with someone else	我们跟我走$d跟别人去
SEEN7401_3	1089	だったらいいけど$d遠くから見るぐらいいいだろ？	Well, that's good if that's the case.$dJust taking a look from a distance shouldn't hurt, right?	好吧,如果是这样的话。$d只是从远处看一眼 应该不会疼吧?
SEEN7500	1595	また来ていいか訊く$dもう来ない	Ask whether I can come again$dDon't come again	问我能不能再来一次$d别再来了
SEEN7500	3269	叱ってくれるところ$d優しいところ$d戦闘力が高いところ	How you scold$dHow you're kind$dHow you have a high power level	你怎么骂人$d你这么好心$d你怎么会有这么高的功率
SEEN7500	3280	心配してくれるところ$d優しいところ$d戦闘力が高いところ	How you worry$dHow you're kind$dHow you have a high power level	你怎么这么担心?$d你这么好心$d你怎么会有这么高的功率
SEEN7500	3291	布団がいい匂いするところ$d優しいところ$d戦闘力が高いところ	How your futon smells nice$dHow you're kind$dHow you have a high power level	你的羽毛闻起来真香$d你这么好心$d你怎么会有这么高的功率
SEEN7500	3329	心配してくれるところ$d布団がいい匂いするところ$d戦闘力が高いところ	How you worry$dHow your futon smells nice$dHow you have a high power level	你怎么这么担心?$d你的羽毛闻起来真香$d你怎么会有这么高的功率
SEEN7500	3367	心配してくれるところ$d優しいところ$d布団がいい匂いするところ	How you worry$dHow you're kind$dHow your futon smells nice	你怎么这么担心?$d你这么好心$d你的羽毛闻起来真香
SEEN7500	3404	心配してくれるところ$d叱ってくれるところ$d戦闘力が高いところ	How you worry$dHow you scold$dHow you have a high power level	你怎么这么担心?$d你怎么骂人$d你怎么会有这么高的功率
SEEN7500	3415	布団がいい匂いするところ$d叱ってくれるところ$d戦闘力が高いところ	How your futon smells nice$dHow you scold$dHow you have a high power level	你的羽毛闻起来真香$d你怎么骂人$d你怎么会有这么高的功率
SEEN7500	3452	心配してくれるところ$d布団がいい匂いするところ$d戦闘力が高いところ	How you worry$dHow your futon smells nice$dHow you have a high power level	你怎么这么担心?$d你的羽毛闻起来真香$d你怎么会有这么高的功率
SEEN7500	3490	心配してくれるところ$d叱ってくれるところ$d布団がいい匂いするところ	How you worry$dHow you scold$dHow your futon smells nice	你怎么这么担心?$d你怎么骂人$d你的羽毛闻起来真香
SEEN7500	3528	叱ってくれるところ$d優しいところ$d心配してくれるところ	How you scold$dHow you're kind$dHow you worry	你怎么骂人$d你这么好心$d你怎么这么担心?
SEEN7500	3539	布団がいい匂いするところ$d優しいところ$d心配してくれるところ	How your futon smells nice$dHow you're kind$dHow you worry	你的羽毛闻起来真香$d你这么好心$d你怎么这么担心?
SEEN7500	3575	叱ってくれるところ$d布団がいい匂いするところ$d心配してくれるところ	How you scold$dHow your futon smells nice$dHow you worry	你怎么骂人$d你的羽毛闻起来真香$d你怎么这么担心?
SEEN7500	3611	叱ってくれるところ$d優しいところ$d布団がいい匂いするところ	How you scold$dHow you're kind$dHow your futon smells nice	你怎么骂人$d你这么好心$d你的羽毛闻起来真香
SEEN7600	83	立ち去る$dゆすってみる	Leave$dTry shaking the person	离开$d试着摇晃那个人
SEEN7600	354	住所を調べて届けてやる$d破り捨てる	Find the address and give it back.$dTear it up	找到地址还给我$d撕下来
SEEN7601	2470	まぁ…しょうがないな…$d宿を紹介してやる	Well... I guess it can't be helped...$dFind him to a place to stay	这个... 我想这是没办法的...$d把他找来住的地方
