scene	code_index	pc_scene	pc_select_index	jp_text	zh_text	match
SEEN7200	2630	SEEN7200	1	抱きしめる$dおはよう、と返す	抱住渚$d回答「早上好」	global-jp-exact
SEEN7400	446	SEEN7400	0	藤林姉妹$dそれ以外	藤林姐妹$d除此之外	global-jp-exact
SEEN7400	457	SEEN7400	1	姉$d妹	姐姐$d妹妹	global-jp-exact
SEEN7400	1749	SEEN7400	2	古河にする$dそれ以外	去拜托古河$d除此之外	global-jp-exact
SEEN7400	2715	SEEN7400	3	智代にする$dそれ以外	拜托智代$d除此之外	global-jp-exact
SEEN7400	3748	SEEN7400	4	風子にする$dそれ以外	拜托风子$d除此之外	global-jp-exact
SEEN7400	4543	SEEN7400	5	俺にする$dそれ以外	我来假扮$d除此之外	global-jp-exact
SEEN7401_3	1089	SEEN7400	6	だったらいいけど$d遠くから見るぐらいいいだろ？	那就算了$d从远处看看他怎么样？	global-jp-exact
SEEN7500	1595	SEEN7500	0	また来ていいか訊く$dもう来ない	问她还可以再来吗$d不会再来了	global-jp-exact
SEEN7500	3269	SEEN7500	1	叱ってくれるところ$d優しいところ$d戦闘力が高いところ	严厉$d温柔$d战斗力很高	global-jp-exact
SEEN7500	3280	SEEN7500	2	心配してくれるところ$d優しいところ$d戦闘力が高いところ	为我操心$d温柔$d战斗力很高	global-jp-exact
SEEN7500	3291	SEEN7500	3	布団がいい匂いするところ$d優しいところ$d戦闘力が高いところ	被窝中的味道很香$d温柔$d战斗力很高	global-jp-exact
SEEN7500	3329	SEEN7500	4	心配してくれるところ$d布団がいい匂いするところ$d戦闘力が高いところ	为我操心$d被窝中的味道很香$d战斗力很高	global-jp-duplicate-same-zh
SEEN7500	3367	SEEN7500	5	心配してくれるところ$d優しいところ$d布団がいい匂いするところ	为我操心$d温柔$d被窝中的味道很香	global-jp-exact
SEEN7500	3404	SEEN7500	6	心配してくれるところ$d叱ってくれるところ$d戦闘力が高いところ	为我操心$d严厉$d战斗力很高	global-jp-exact
SEEN7500	3415	SEEN7500	7	布団がいい匂いするところ$d叱ってくれるところ$d戦闘力が高いところ	被窝中的味道很香$d严厉$d战斗力很高	global-jp-exact
SEEN7500	3452	SEEN7500	4	心配してくれるところ$d布団がいい匂いするところ$d戦闘力が高いところ	为我操心$d被窝中的味道很香$d战斗力很高	global-jp-duplicate-same-zh
SEEN7500	3490	SEEN7500	9	心配してくれるところ$d叱ってくれるところ$d布団がいい匂いするところ	为我操心$d严厉$d被窝中的味道很香	global-jp-exact
SEEN7500	3528	SEEN7500	10	叱ってくれるところ$d優しいところ$d心配してくれるところ	严厉$d温柔$d为我操心	global-jp-exact
SEEN7500	3539	SEEN7500	11	布団がいい匂いするところ$d優しいところ$d心配してくれるところ	被窝中的味道很香$d温柔$d为我操心	global-jp-exact
SEEN7500	3575	SEEN7500	12	叱ってくれるところ$d布団がいい匂いするところ$d心配してくれるところ	严厉$d被窝中的味道很香$d为我操心	global-jp-exact
SEEN7500	3611	SEEN7500	13	叱ってくれるところ$d優しいところ$d布団がいい匂いするところ	严厉$d温柔$d被窝中的味道很香	global-jp-exact
SEEN7600	83	SEEN7600	0	立ち去る$dゆすってみる	离开这里$d摇一摇他	global-jp-exact
SEEN7600	354	SEEN7600	1	住所を調べて届けてやる$d破り捨てる	查清住址后送给他$d撕了扔掉	global-jp-exact
SEEN7601	2470	SEEN7600	2	まぁ…しょうがないな…$d宿を紹介してやる	的确…是没有办法啊…$d给他介绍住处	global-jp-exact
