scene	code_index	jp_text	en_text	zh_text	source
SEEN6422	3209	藤林姉妹に相談$d担任に相談	Talk to the Fujibayashi sisters$dTalk to a homeroom teacher	和藤林姐妹商量$d和班主任商量	global-jp-exact
SEEN6423	968	ああ$d違う	Yeah$dNo	是啊$d不是	global-jp-exact
SEEN6423	2242	多分、そうなのだろう$d違う	She probably is$dNo	大概是这样吧$d不是的	global-jp-exact
SEEN6423	2569	眠る$d気分転換	Sleep$dGo for a walk	睡觉$d转换心情	pc-same-scene
SEEN6423	2665	呼び止める$d放っておく	Call out to it$dDo nothing	叫住她$d不管她	global-jp-duplicate-same-zh
SEEN6424	156	呼びとめる$d放っておく	Call out to it$dDo nothing	叫住她$d不管她	pc-same-scene
SEEN6424	1520	そのままでいる$d抱きしめる	Stay like this$dEmbrace her	就这样注视着她$d紧紧抱住她	global-jp-exact
SEEN6425	2845	呼びとめる$d放っておく	Call out to it$dDo nothing	叫住她$d暂时不管她	pc-same-scene
SEEN6426	1330	先を急ぐ$d訊いてみる	Rush ahead$dAsk them what's wrong	继续赶路$d问问看	manual-jp
SEEN6426	3075	探す$d月曜にする	Look around$dWait until Monday	去找找看$d等到星期一	global-jp-exact
SEEN6426	3121	幸村をメンバーに入れる$d入れない	Get Koumura to join$dDon't	让幸村加入队伍$d不要他加入	global-jp-exact
SEEN6426	5040	ああ$dひとりで行ってくれ	Sure$dPlease go alone this time	好的$d自己一个人去吧	global-jp-exact
SEEN6427	281	客だ$d手伝いだ	I'm a customer$dI'm helping out	来买面包$d来帮忙	global-jp-exact
SEEN6427	1810	渚の肩を抱く$d我慢する	Put your arm around Nagisa's shoulder$dHold off	抱着渚的肩膀$d克制自己	global-jp-exact
SEEN6428	1486	練習させる$d芽衣ちゃんと遊ばせる	Make her practice$dHave her play with Mei-chan	让她练习$d让她和芽衣玩	global-jp-exact
SEEN6428	1896	新校舎で探す$d旧校舎で探す	Search the new school building$dSearch the old school building	在新校舍寻找$d在旧校舍寻找	global-jp-exact
SEEN6428	1903	二階を探す$d三階を探す	Look around the second floor$dLook around the third floor	去二楼寻找$d去三楼寻找	global-jp-exact
SEEN6428	2525	いける$dもう一度よく考えてみる	She'll work$dReally think about it one more time	能行$d再考虑一下	global-jp-exact
SEEN6428	3737	運動不足の解消$d馬鹿のやり収め$d俺たちに貸しを作る	Making up for a lack of exercise$dOne last chance to have stupid fun$dGetting us to owe you one	避免运动不足$d最后做一次蠢事$d卖我们个人情	global-jp-exact
SEEN6428	4809	説明する$dめんどくさいな…	Explain$dWhat a pain...	说明$d但很麻烦啊…	global-jp-exact
SEEN6428	6967	頼む、メンバーになってくれ$d別に無理はしなくていいぞ	Join our team, please$dThere's no need to push yourself like that	拜托你了，请成为我们的一员吧$d不用特别勉强自己	global-jp-exact
SEEN6428	7440	空き教室を探す$d資料室を探す	Search the empty classrooms$dSearch the reference room	去空教室找找$d去资料室找找	global-jp-exact
SEEN6428	8875	いい$d考え直す	Sure$dReconsider	可以$d再考虑一下	global-jp-exact
SEEN6428	9537	頼む$d頼まない	Ask her$dDon't ask her	邀请她$d不邀请她	global-jp-exact
SEEN6428	9871	美佐枝さんにする$dそれもやめる	Go with Misae-san$dDon't do that either	选美佐枝$d还是算了	manual-jp
SEEN6428	11558	練習する$d対策を練る	Practice$dFigure out a way around it	练习$d想对策	global-jp-duplicate-same-zh
SEEN6428	11755	練習する$d対策を練る	Practice$dFigure out a way around it	练习$d想对策	global-jp-duplicate-same-zh
SEEN6430	4092	最後は智代に$d最後は俺に	Give Tomoyo the last shot$dI'll take the last shot	最后一球给智代$d最后一球给我	global-jp-exact
SEEN6430	5668	最後は芳野祐介に$d最後は俺に	Give Yusuke Yoshino the last shot$dI'll take the last shot	最后一球给芳野佑介$d最后一球给我	global-jp-exact
SEEN6430	7423	最後は美佐枝さんに$d最後は俺に	Give Misae-san the last shot$dI'll take the last shot	最后选美佐枝$d最后选我	manual-jp
SEEN6430	9652	最後はオッサンに$d最後は俺に	Give him the last shot$dI'll take the last shot	最后一球传给大叔$d最后一球传给我	global-jp-exact
SEEN6430	11482	最後は杏に$d最後は俺に	Let Kyou take the last shot$dI'll take the last shot	最后一球给杏$d最后一球给我	global-jp-exact
SEEN6444	988	訊いてみる$d興味ない	Ask them what's wrong$dI'm not interested	问问看他们$d不感兴趣	pc-same-scene
SEEN6501	2504	プレゼントをする$dデートに誘う$d耳元で愛を囁き続ける	Giving her a present$dInviting her on a date$dWhispering sweet nothings into her ear	送礼物$d邀请她约会$d在耳边诉说爱意	global-jp-exact
SEEN6502	2046	好き$d俺には渚がいる	I like her$dI have Nagisa	喜欢$d我已经有渚了	global-jp-exact
SEEN6510	224	台本を奪う$d唇を奪う$d心を奪う	Steal her script$dSteal a kiss$dSteal her heart	夺走剧本$d夺走双唇$d夺走心	global-jp-exact
SEEN6511	318	あんたはいい父親だ$dあんたは父親としては失格だ	You're a good father$dYou're a failure as a father	你是个很棒的父亲$d你作为父亲真是失职	global-jp-exact
SEEN6511	2036	叫ぶ$d黙って見ている	Yell$dWatch silently	呼喊$d沉默地旁观	global-jp-exact
SEEN6727	285	いい$dよくない	It's all right$dIt's not all right	可以$d不好	pc-same-scene
SEEN6728	1224	好きにさせる$dやめさせる	Let her do it$dStop her	随便她$d阻止她	global-jp-exact
SEEN6729	3356	何のつもりなのか訊く$dもう一度頼む	Ask her why she did it$dAsk her to do it again	问她到底怎么回事$d拜托再来一次	global-jp-exact
SEEN6800	8895	自分を落ち着かせる$dばれなければいいと開き直る	Calm down$dDecide that it's fine as long as you're not caught	自己冷静下来$d只要不暴露就没关系	global-jp-exact
SEEN6800_1	1787	いい$dいや、言葉以外で…	Yes$dNo, something other than words	可以$d不，还是言语以外……	global-jp-exact
SEEN6800_1	1990	エッチなこととか…$dいや、言葉でいい	Doing something dirty...$dActually, words are fine	Ｈ的事情……$d算了，还是说话好	global-jp-exact
SEEN6800_1	4774	誤解を解く$d好きに思わせておく	Clear up the misunderstanding$dLet them think whatever they want	解开误会$d让他们去想象好了	global-jp-exact
SEEN6800_1	6073	黙ってじっとしている$d拒否する	Stay silent and don't move$dDeny it	默不作声$d拒绝	global-jp-exact
SEEN6800_1	7182	テレビを見る$dタンスを漁る	Watch TV$dHunt through my drawers	看电视$d翻柜子	global-jp-exact
SEEN6800_1	8001	創立者祭$d牛追い祭り$dエプロンだけの日	Founder's Festival$dThe running of the bulls$dApron only day	创立者祭$d追牛节$d只穿围裙日	manual-jp
SEEN6800_1	8016	模試$d牛追い祭り$dエプロンだけの日	Mock exams$dThe running of the bulls$dApron only day	模拟考试$d追牛节$d只穿围裙日	manual-jp
SEEN6800_1	8207	模試$dだんご追い祭り$dエプロンだけの日	Mock exams$dThe running of the dango$dApron only day	模拟考试$d追团子节$d只穿围裙日	manual-jp
SEEN6800_1	10013	別にいいけど$d反対	It's fine with me$dNo way	倒也没什么$d反对	global-jp-exact
SEEN6800_2	4259	ダメじゃなくて無理$d仕方がない…	It's not too much, it's impossible$dOh, fine	不是不愿意，是根本就办不到$d真是拿你没办法啊……	global-jp-exact
SEEN6800_2	6022	違う$d………。	No$d......	不是的$d…………	global-jp-exact
SEEN6800_2	7898	殴りつける$d堪える	Hit something$dHold it in	打上去$d忍耐	global-jp-exact
SEEN6802_1	1098	見に行く$dここで待つ	Go look$dWait here	去看看$d在这里等	global-jp-exact
SEEN6803	100	呼ぶ$d呼ばない	Call out$dSay nothing	呼唤她$d保持沉默	global-jp-exact
SEEN6810	1425	後ろから抱きつく$d大人しくテレビを見ている	Hug her from behind$dQuietly keep watching TV	从后面抱住她$d继续老实看电视	global-jp-exact
SEEN6810	1520	もっと強く抱きしめてみる$d邪魔になるだろうから、このままでいる	Hold her even closer$dIt could distract her; stay like this	抱得更紧一些$d会妨碍到她的吧，保持这样就好了	global-jp-exact
SEEN6810	1603	調べてみる$dさすがにそれは失礼だ	Find out$dNow that would be going too far	调查一下$d这样做太失礼了	global-jp-exact
SEEN6810	3493	オッサンの秘蔵エロ本$d早苗さんの下着$dいらない	The old man's stash of dirty books$dSanae-san's underwear$dI don't need anything	大叔秘藏的Ａ书$d早苗阿姨的内衣$d都不要	global-jp-exact
SEEN6810	10497	そろそろ止める$dさらに傍観	She's had enough$dKeep watching	是时候制止了$d先看看再说吧	global-jp-exact
SEEN6810	11458	気にしてる$d気にしていない	I do care$dI don't care	在意$d不在意	global-jp-exact
SEEN6811	6554	協力する$d逃げ出す	Help him$dRun away	帮忙$d偷跑	global-jp-exact
SEEN7000	2629	好き$dそういうのではなくて…	I do$dNo, it's not like that...	喜欢$d不是那样的……	global-jp-exact
SEEN7100	78	立ち去る$dもう少し様子を見ている	Leave.$dSee what happens for a bit longer.	离开$d再看一会儿	global-jp-exact
SEEN7100	565	手伝う$d断る	Help$dRefuse	帮忙$d拒绝	global-jp-duplicate-same-zh
SEEN7102	75	正直に答える$d適当にごまかす	Answer honestly$dTry and deceive him somehow	说实话$d敷衍一下	global-jp-exact
SEEN7102	135	チャンネルを替える$d歌う	Change the channel$dSing	换频道$d唱歌	global-jp-exact
SEEN7102	960	同意する$dさらに続きを訊く	Agree$dAsk if there's more	同意$d询问后情	global-jp-exact
SEEN7102	1662	明後日まで待って、一緒に行く$d渚ひとりに行かせる	Wait until the day after tomorrow and go together.$dLet Nagisa go alone.	等到后天再一起去$d让渚一个人去	manual-jp
SEEN7200	2121	オッサンのこと$dエッチなこと	The old man$dSomething dirty	大叔的事$dＨ的事	global-jp-exact
SEEN7200	2630	抱きしめる$dおはよう、と返す	Embrace her$dSay good morning back to her	抱住渚$d回答「早上好」	global-jp-exact
SEEN7400	446	藤林姉妹$dそれ以外	Fujibayashi Sisters$dGo with someone else	藤林姐妹$d除此之外	global-jp-exact
SEEN7400	457	姉$d妹	The older sister$dThe younger sister	姐姐$d妹妹	global-jp-exact
SEEN7400	1749	古河にする$dそれ以外	Let's go with Furukawa$dGo with someone else	去拜托古河$d除此之外	global-jp-exact
SEEN7400	2715	智代にする$dそれ以外	Let's go with Tomoyo$dGo with someone else	拜托智代$d除此之外	global-jp-exact
SEEN7400	3748	風子にする$dそれ以外	Let's go with Fuko$dGo with someone else	拜托风子$d除此之外	global-jp-exact
SEEN7400	4543	俺にする$dそれ以外	Let's go with me$dGo with someone else	我来假扮$d除此之外	global-jp-exact
SEEN7401_3	1089	だったらいいけど$d遠くから見るぐらいいいだろ？	Well, that's good if that's the case.$dJust taking a look from a distance shouldn't hurt, right?	那就算了$d从远处看看他怎么样？	global-jp-exact
SEEN7500	1595	また来ていいか訊く$dもう来ない	Ask whether I can come again$dDon't come again	问她还可以再来吗$d不会再来了	global-jp-exact
SEEN7500	3269	叱ってくれるところ$d優しいところ$d戦闘力が高いところ	How you scold$dHow you're kind$dHow you have a high power level	严厉$d温柔$d战斗力很高	global-jp-exact
SEEN7500	3280	心配してくれるところ$d優しいところ$d戦闘力が高いところ	How you worry$dHow you're kind$dHow you have a high power level	为我操心$d温柔$d战斗力很高	global-jp-exact
SEEN7500	3291	布団がいい匂いするところ$d優しいところ$d戦闘力が高いところ	How your futon smells nice$dHow you're kind$dHow you have a high power level	被窝中的味道很香$d温柔$d战斗力很高	global-jp-exact
SEEN7500	3329	心配してくれるところ$d布団がいい匂いするところ$d戦闘力が高いところ	How you worry$dHow your futon smells nice$dHow you have a high power level	为我操心$d被窝中的味道很香$d战斗力很高	global-jp-duplicate-same-zh
SEEN7500	3367	心配してくれるところ$d優しいところ$d布団がいい匂いするところ	How you worry$dHow you're kind$dHow your futon smells nice	为我操心$d温柔$d被窝中的味道很香	global-jp-exact
SEEN7500	3404	心配してくれるところ$d叱ってくれるところ$d戦闘力が高いところ	How you worry$dHow you scold$dHow you have a high power level	为我操心$d严厉$d战斗力很高	global-jp-exact
SEEN7500	3415	布団がいい匂いするところ$d叱ってくれるところ$d戦闘力が高いところ	How your futon smells nice$dHow you scold$dHow you have a high power level	被窝中的味道很香$d严厉$d战斗力很高	global-jp-exact
SEEN7500	3452	心配してくれるところ$d布団がいい匂いするところ$d戦闘力が高いところ	How you worry$dHow your futon smells nice$dHow you have a high power level	为我操心$d被窝中的味道很香$d战斗力很高	global-jp-duplicate-same-zh
SEEN7500	3490	心配してくれるところ$d叱ってくれるところ$d布団がいい匂いするところ	How you worry$dHow you scold$dHow your futon smells nice	为我操心$d严厉$d被窝中的味道很香	global-jp-exact
SEEN7500	3528	叱ってくれるところ$d優しいところ$d心配してくれるところ	How you scold$dHow you're kind$dHow you worry	严厉$d温柔$d为我操心	global-jp-exact
SEEN7500	3539	布団がいい匂いするところ$d優しいところ$d心配してくれるところ	How your futon smells nice$dHow you're kind$dHow you worry	被窝中的味道很香$d温柔$d为我操心	global-jp-exact
SEEN7500	3575	叱ってくれるところ$d布団がいい匂いするところ$d心配してくれるところ	How you scold$dHow your futon smells nice$dHow you worry	严厉$d被窝中的味道很香$d为我操心	global-jp-exact
SEEN7500	3611	叱ってくれるところ$d優しいところ$d布団がいい匂いするところ	How you scold$dHow you're kind$dHow your futon smells nice	严厉$d温柔$d被窝中的味道很香	global-jp-exact
SEEN7600	83	立ち去る$dゆすってみる	Leave$dTry shaking the person	离开这里$d摇一摇他	global-jp-exact
SEEN7600	354	住所を調べて届けてやる$d破り捨てる	Find the address and give it back.$dTear it up	查清住址后送给他$d撕了扔掉	global-jp-exact
SEEN7601	2470	まぁ…しょうがないな…$d宿を紹介してやる	Well... I guess it can't be helped...$dFind him to a place to stay	的确…是没有办法啊…$d给他介绍住处	global-jp-exact
